key,value,min,max,unit
seatinglength,Vehicle.Cabin.Seat.Row1.DriverSide.Seating.Length,0,1000,mm
height,Vehicle.Cabin.Seat.Row1.DriverSide.Height,0,1000,mm
headrestheight,Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Height,0,1000,mm
backrestlumbar,Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Lumbar.Support,0,100,percent
sidebolster,Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.SideBolster.Support,0,100,percent
backrestrecline,Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Recline,-180,180,degree
headrestangle,Vehicle.Cabin.Seat.Row1.DriverSide.Headrest.Angle,-180,180,degree
backrestlumbarheight,Vehicle.Cabin.Seat.Row1.DriverSide.Backrest.Lumbar.Height,0,1000,mm
massage,Vehicle.Cabin.Seat.Row1.DriverSide.Massage,0,100,percent
tilt,Vehicle.Cabin.Seat.Row1.DriverSide.Tilt,-180,180,degree
position,Vehicle.Cabin.Seat.Row1.DriverSide.Position,0,1000,mm
